Ticket Class,Ticket Priority,Ticket Number,Ticket Status,Opened Date,Hostname,OS Type,Ticket Summary,Queue ID,Ticket Resolved Date,Resolution Code,Resolution Text,Ticket Closed Date,Call code,Reported By,Executed Automata,Recommended Automata,Actionable,Assignment Queue,Autogenerated,Automation Engine,Business Application,Closure Code,Sub Category,Category,Alert Key,Target Finish Date,Time to resolve (min)
INCIDENT,2,IN89157912,IN PROGRESS,"Nov 14, 2025 4:30 AM",fgceogqto405,VMWARE,fgceogqto405 08-CPU load is high on processor UNIXOVERALLCPU. Threshold is 85.00 - Percent usage 96,K-PLTools-AIOPs-Americas-L2,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Event Management,x,UNKNOWN,cpu-high-handler,Y,Y,Y,UNKNOWN,Payment Processing,UNKNOWN,UNKNOWN,cpu-high-handler,cnn_enn_vsve_ckv,UNKNOWN,UNKNOWN
INCIDENT,2,IN88258376,RESOLVED,"Nov 14, 2025 3:46 AM",fgceogqt355,UNIX,acme#efbdnftw911#Average CPU usage is too high (current value: 100),K-QQM-VV-QOM-MRJ-OCSRM,"Nov 14, 2025 5:16 AM",AUTOMATION,*** Automation application have automatically resolved the problem ***,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,cpu-high-handler,Y,Y,Y,0,WebGUI-Primary-Prod-Shared2,UNKNOWN,UNKNOWN,cpu-high-handler,cnn_ens_vsve_ckv,"Nov 14, 2025 5:16 AM",90
INCIDENT,2,IN88293110,CLOSED,"Nov 14, 2025 3:31 AM",fgceogqth27,WINDOWS,acme#CRITICAL state: System acme_efacmetuf83:NT has been restarted recently. Current Uptime is 521 seco,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 14, 2025 5:02 AM",AUTOMATION,*** Automation application have automatically resolved the problem ***,"Nov 28, 2025 7:49 AM",EVENTMANAGEMENT,x,UNKNOWN,server-unavailable,Y,Y,Y,1,UNKNOWN,UNKNOWN,UNKNOWN,server-unavailable,cnn_qwqsnr_ipre_ukp,"Nov 14, 2025 5:02 AM",90
INCIDENT,2,IN88094767,CLOSED,"Nov 14, 2025 3:20 AM",UNKNOWN,UNKNOWN,acme#CRITICAL state: System acme_efbdnftwb31:NT has been restarted recently. Current Uptime is 31 secon,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 14, 2025 3:40 AM",AUTOMATION,*** Automation application have automatically resolved the problem ***,"Nov 28, 2025 1:12 PM",EVENTMANAGEMENT,x,UNKNOWN,server-unavailable,Y,Y,Y,1,UNKNOWN,UNKNOWN,UNKNOWN,server-unavailable,UNKNOWN,"Nov 14, 2025 3:40 AM",20
INCIDENT,2,IN88293183,CLOSED,"Nov 14, 2025 3:02 AM",fgceogqth96,WINDOWS,acme#Offline agent - acme_efacmetuf52:06 is not connected to Shared ITM6 Monitoring Environment.,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 14, 2025 4:32 AM",AUTOMATION,*** Automation application have automatically resolved the problem ***,"Nov 14, 2025 4:32 AM",EVENTMANAGEMENT,x,UNKNOWN,itm-agent-offline,Y,Y,Y,1,UNKNOWN,UNKNOWN,UNKNOWN,itm-agent-offline,cnn_jdr_voqe_jsd,"Nov 14, 2025 4:32 AM",90
INCIDENT,2,IN88293172,CLOSED,"Nov 14, 2025 2:52 AM",fgceogqth01,WINDOWS,acme#Offline agent - acme_efacmetuf67:NT is not connected to Shared ITM6 Monitoring Environment.,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 14, 2025 4:22 AM",AUTOMATION,*** Automation application have automatically resolved the problem ***,"Nov 14, 2025 4:22 AM",EVENTMANAGEMENT,x,UNKNOWN,itm-agent-offline,Y,Y,Y,1,UNKNOWN,UNKNOWN,UNKNOWN,itm-agent-offline,cnn_jdr_voqe_jsd,"Nov 14, 2025 4:22 AM",90
INCIDENT,1,IN88160062,RESOLVED,"Nov 14, 2025 2:49 AM",UNKNOWN,UNKNOWN,acme#efbdnftwj78#VM VI agent can not access V Center acme_LOC_GEN_WLSAPDB_004_CLD_M_960,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 14, 2025 2:59 AM",AUTOMATION,*** Automation application have automatically resolved the problem ***,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,server-unavailable,Y,Y,Y,1,UNKNOWN,UNKNOWN,UNKNOWN,server-unavailable,UNKNOWN,"Nov 14, 2025 2:59 AM",10
INCIDENT,1,IN89496580,RESOLVED,"Nov 14, 2025 1:50 AM",fgkdoqtqnpef5,LINUX,acme#Status of database PRC on node PRC:fgkdoqtqnpef5:RZ is Inactive.,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 14, 2025 1:56 AM",AUTOMATION,*** Automation application have automatically resolved the problem ***,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,database-handler,Y,Y,Y,1,ACME_DC_Application8,UNKNOWN,UNKNOWN,database-handler,jgp_fdkpcer_ipxh_qcnmpc,"Nov 14, 2025 1:56 AM",6
INCIDENT,2,IN88172718,CLOSED,"Nov 14, 2025 1:28 AM",fgceogqto516,WINDOWS,acme#CRITICAL state: System acme_efbdnftwm172:NT has been restarted recently. Current Uptime is 36 seco,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 14, 2025 1:58 AM",AUTOMATION,*** Automation application have automatically resolved the problem ***,"Nov 28, 2025 1:16 PM",EVENTMANAGEMENT,x,UNKNOWN,server-unavailable,Y,Y,Y,1,UNKNOWN,UNKNOWN,UNKNOWN,server-unavailable,cnn_qwqsnr_ipre_ukp,"Nov 14, 2025 1:58 AM",30
INCIDENT,2,IN88342240,RESOLVED,"Nov 14, 2025 1:17 AM",fgceogqt423,UNIX,acme#efacmetu089#The number of zombie processes is too high. Current number: 57.,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 14, 2025 1:32 AM",AUTOMATION,*** Automation application have automatically resolved the problem ***,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,zombie-process,Y,Y,Y,0,My web application,UNKNOWN,UNKNOWN,zombie-process,cnn_xmo_vsve_ckv,"Nov 14, 2025 1:32 AM",15
